model,timezero,v1_github_timestamp,v2_github_timestamp,v3_github_timestamp,in_zoltar,Unnamed: 0
COVIDhub-baseline,2020-05-18,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-05-18,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-05-25,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-05-25,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-01,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-01,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-08,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-08,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-15,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-15,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-22,07/06/20-21:48:04,,,v1,
COVIDhub-baseline,2020-06-22,07/06/20-21:48:04,,,v1,
